PATTERN,CSP_VIO
"M1,D1",0.585152892
"M1,D2",0.585152892
"M1,D3",0.585152892
"M1,D4",0.585152892
"M1,D5",0.585152892
"M1,D6",0.585152892
"M1,D7",0.585152892
"M1,D8",0.585152892
"M1,D9",0.585152892
"M1,D10",0.585152892
"M1,D11",0.585152892
"M1,D12",0.585152892
"M1,D13",0.585152892
"M1,D14",0.585152892
"M1,D15",0.585152892
"M1,D16",0.585152892
"M1,D17",0.585152892
"M1,D18",0.585152892
"M1,D19",0.585152892
"M1,D20",0.585152892
"M1,D21",0.585152892
"M1,D22",0.585152892
"M1,D23",0.585152892
"M1,D24",0.585152892
"M1,D25",0.585152892
"M1,D26",0.585152892
"M1,D27",0.585152892
"M1,D28",0.585152892
"M1,D29",0.585152892
"M1,D30",0.585152892
"M1,D31",0.585152892
"M2,D1",0.645760052
"M2,D2",0.645760052
"M2,D3",0.645760052
"M2,D4",0.645760052
"M2,D5",0.645760052
"M2,D6",0.645760052
"M2,D7",0.645760052
"M2,D8",0.645760052
"M2,D9",0.645760052
"M2,D10",0.645760052
"M2,D11",0.645760052
"M2,D12",0.645760052
"M2,D13",0.645760052
"M2,D14",0.645760052
"M2,D15",0.645760052
"M2,D16",0.645760052
"M2,D17",0.645760052
"M2,D18",0.645760052
"M2,D19",0.645760052
"M2,D20",0.645760052
"M2,D21",0.645760052
"M2,D22",0.645760052
"M2,D23",0.645760052
"M2,D24",0.645760052
"M2,D25",0.645760052
"M2,D26",0.645760052
"M2,D27",0.645760052
"M2,D28",0.645760052
"M3,D1",0.6754275
"M3,D2",0.6754275
"M3,D3",0.6754275
"M3,D4",0.6754275
"M3,D5",0.6754275
"M3,D6",0.6754275
"M3,D7",0.6754275
"M3,D8",0.6754275
"M3,D9",0.6754275
"M3,D10",0.6754275
"M3,D11",0.6754275
"M3,D12",0.6754275
"M3,D13",0.6754275
"M3,D14",0.6754275
"M3,D15",0.6754275
"M3,D16",0.6754275
"M3,D17",0.6754275
"M3,D18",0.6754275
"M3,D19",0.6754275
"M3,D20",0.6754275
"M3,D21",0.6754275
"M3,D22",0.6754275
"M3,D23",0.6754275
"M3,D24",0.6754275
"M3,D25",0.6754275
"M3,D26",0.6754275
"M3,D27",0.6754275
"M3,D28",0.6754275
"M3,D29",0.6754275
"M3,D30",0.6754275
"M3,D31",0.6754275
"M4,D1",0.696
"M4,D2",0.696
"M4,D3",0.696
"M4,D4",0.696
"M4,D5",0.696
"M4,D6",0.696
"M4,D7",0.696
"M4,D8",0.696
"M4,D9",0.696
"M4,D10",0.696
"M4,D11",0.696
"M4,D12",0.696
"M4,D13",0.696
"M4,D14",0.696
"M4,D15",0.696
"M4,D16",0.696
"M4,D17",0.696
"M4,D18",0.696
"M4,D19",0.696
"M4,D20",0.696
"M4,D21",0.696
"M4,D22",0.696
"M4,D23",0.696
"M4,D24",0.696
"M4,D25",0.696
"M4,D26",0.696
"M4,D27",0.696
"M4,D28",0.696
"M4,D29",0.696
"M4,D30",0.696
"M5,D1",0.691542503
"M5,D2",0.691542503
"M5,D3",0.691542503
"M5,D4",0.691542503
"M5,D5",0.691542503
"M5,D6",0.691542503
"M5,D7",0.691542503
"M5,D8",0.691542503
"M5,D9",0.691542503
"M5,D10",0.691542503
"M5,D11",0.691542503
"M5,D12",0.691542503
"M5,D13",0.691542503
"M5,D14",0.691542503
"M5,D15",0.691542503
"M5,D16",0.691542503
"M5,D17",0.691542503
"M5,D18",0.691542503
"M5,D19",0.691542503
"M5,D20",0.691542503
"M5,D21",0.691542503
"M5,D22",0.691542503
"M5,D23",0.691542503
"M5,D24",0.691542503
"M5,D25",0.691542503
"M5,D26",0.691542503
"M5,D27",0.691542503
"M5,D28",0.691542503
"M5,D29",0.691542503
"M5,D30",0.691542503
"M5,D31",0.691542503
"M6,D1",0.682028203
"M6,D2",0.682028203
"M6,D3",0.682028203
