YEAR,EO_LAPAZ,PV_LPIL,PV_TRI,PV_SJC,PV_PAL,PV_CSLD,PV_OALTAS,PV_VILLAC,BESS_LAPAZ,BESS_LPIL,BESS_TRI,BESS_SJC,BESS_PAL,BESS_CSLD,BESS_OALTAS,BESS_VILLAC,CSP_OLA,CSP_OLA2,CSP_VIO
2028,30,19,19,19,19,19,19,19,35,35,35,35,35,35,35,35,60,60,60
2029,30,19,19,19,19,19,19,19,34,34,34,34,34,34,34,34,57,57,57
2030,29,18,18,18,18,18,18,18,33,33,33,33,33,33,33,33,55,55,55
2031,29,17,17,17,17,17,17,17,32,32,32,32,32,32,32,32,55,55,55
2032,29,17,17,17,17,17,17,17,32,32,32,32,32,32,32,32,55,55,55
2033,29,16,16,16,16,16,16,16,31,31,31,31,31,31,31,31,55,55,55
2034,28,16,16,16,16,16,16,16,30,30,30,30,30,30,30,30,54,54,54
2035,28,15,15,15,15,15,15,15,30,30,30,30,30,30,30,30,54,54,54
2036,28,15,15,15,15,15,15,15,29,29,29,29,29,29,29,29,54,54,54
2037,28,15,15,15,15,15,15,15,29,29,29,29,29,29,29,29,54,54,54
2038,28,15,15,15,15,15,15,15,28,28,28,28,28,28,28,28,54,54,54
2039,27,14,14,14,14,14,14,14,28,28,28,28,28,28,28,28,54,54,54
