PATTERN,CSP_OLA,CSP_OLA2
"M1,D1",1.170305784,1.170305784
"M1,D2",1.170305784,1.170305784
"M1,D3",1.170305784,1.170305784
"M1,D4",1.170305784,1.170305784
"M1,D5",1.170305784,1.170305784
"M1,D6",1.170305784,1.170305784
"M1,D7",1.170305784,1.170305784
"M1,D8",1.170305784,1.170305784
"M1,D9",1.170305784,1.170305784
"M1,D10",1.170305784,1.170305784
"M1,D11",1.170305784,1.170305784
"M1,D12",1.170305784,1.170305784
"M1,D13",1.170305784,1.170305784
"M1,D14",1.170305784,1.170305784
"M1,D15",1.170305784,1.170305784
"M1,D16",1.170305784,1.170305784
"M1,D17",1.170305784,1.170305784
"M1,D18",1.170305784,1.170305784
"M1,D19",1.170305784,1.170305784
"M1,D20",1.170305784,1.170305784
"M1,D21",1.170305784,1.170305784
"M1,D22",1.170305784,1.170305784
"M1,D23",1.170305784,1.170305784
"M1,D24",1.170305784,1.170305784
"M1,D25",1.170305784,1.170305784
"M1,D26",1.170305784,1.170305784
"M1,D27",1.170305784,1.170305784
"M1,D28",1.170305784,1.170305784
"M1,D29",1.170305784,1.170305784
"M1,D30",1.170305784,1.170305784
"M1,D31",1.170305784,1.170305784
"M2,D1",1.291520103,1.291520103
"M2,D2",1.291520103,1.291520103
"M2,D3",1.291520103,1.291520103
"M2,D4",1.291520103,1.291520103
"M2,D5",1.291520103,1.291520103
"M2,D6",1.291520103,1.291520103
"M2,D7",1.291520103,1.291520103
"M2,D8",1.291520103,1.291520103
"M2,D9",1.291520103,1.291520103
"M2,D10",1.291520103,1.291520103
"M2,D11",1.291520103,1.291520103
"M2,D12",1.291520103,1.291520103
"M2,D13",1.291520103,1.291520103
"M2,D14",1.291520103,1.291520103
"M2,D15",1.291520103,1.291520103
"M2,D16",1.291520103,1.291520103
"M2,D17",1.291520103,1.291520103
"M2,D18",1.291520103,1.291520103
"M2,D19",1.291520103,1.291520103
"M2,D20",1.291520103,1.291520103
"M2,D21",1.291520103,1.291520103
"M2,D22",1.291520103,1.291520103
"M2,D23",1.291520103,1.291520103
"M2,D24",1.291520103,1.291520103
"M2,D25",1.291520103,1.291520103
"M2,D26",1.291520103,1.291520103
"M2,D27",1.291520103,1.291520103
"M2,D28",1.291520103,1.291520103
"M3,D1",1.350855,1.350855
