YEAR,EO_LAPAZ,PV_LPIL,PV_TRI,PV_SJC,PV_PAL,PV_CSLD,PV_OALTAS,PV_VILLAC,BESS_LAPAZ,BESS_LPIL,BESS_TRI,BESS_SJC,BESS_PAL,BESS_CSLD,BESS_OALTAS,BESS_VILLAC,CSP_OLA,CSP_OLA2,CSP_VIO
2028,"1,472","1,313","1,313","1,313","1,313","1,313","1,313","1,313","1,555","1,555","1,555","1,555","1,555","1,555","1,555","1,555","5,863","5,863","5,863"
2029,"1,440","1,253","1,253","1,253","1,253","1,253","1,253","1,253","1,503","1,503","1,503","1,503","1,503","1,503","1,503","1,503","5,521","5,521","5,521"
2030,"1,408","1,193","1,193","1,193","1,193","1,193","1,193","1,193","1,451","1,451","1,451","1,451","1,451","1,451","1,451","1,451","5,180","5,180","5,180"
2031,"1,393","1,134","1,134","1,134","1,134","1,134","1,134","1,134","1,431","1,431","1,431","1,431","1,431","1,431","1,431","1,431","5,144","5,144","5,144"
2032,"1,379","1,074","1,074","1,074","1,074","1,074","1,074","1,074","1,410","1,410","1,410","1,410","1,410","1,410","1,410","1,410","5,107","5,107","5,107"
2033,"1,364","1,015","1,015","1,015","1,015","1,015","1,015","1,015","1,389","1,389","1,389","1,389","1,389","1,389","1,389","1,389","5,071","5,071","5,071"
2034,1349,955,955,955,955,955,955,955,"1,368","1,368","1,368","1,368","1,368","1,368","1,368","1,368","5,035","5,035","5,035"
2035,1335,895,895,895,895,895,895,895,"1,347","1,347","1,347","1,347","1,347","1,347","1,347","1,347","4,999","4,999","4,999"
2036,1320,881,881,881,881,881,881,881,"1,327","1,327","1,327","1,327","1,327","1,327","1,327","1,327","4,962","4,962","4,962"
2037,1305,867,867,867,867,867,867,867,"1,306","1,306","1,306","1,306","1,306","1,306","1,306","1,306","4,926","4,926","4,926"
2038,1291,853,853,853,853,853,853,853,"1,285","1,285","1,285","1,285","1,285","1,285","1,285","1,285","4,890","4,890","4,890"
2039,1276,839,839,839,839,839,839,839,"1,264","1,264","1,264","1,264","1,264","1,264","1,264","1,264","4,854","4,854","4,854"
