MONTH,DAY,PERIOD,La Toba ,Aura Solar Uno,Aura Solar Tres,Sol de Insurgentes,Eólica Coromuel,EO_LAPAZ,PV_LPIL,PV_TRI,PV_SJC,PV_PAL,PV_CSLD,PV_OALTAS,PV_VILLAC
1,1,1,47.45297946,0,0,0,0,47.45297946,0,0,0,0,0,0,0
1,1,2,47.72578101,0,0,0,0,47.72578101,0,0,0,0,0,0,0
1,1,3,47.89697593,0,0,0,0,47.89697593,0,0,0,0,0,0,0
1,1,4,48.59435614,0,0,0,0,48.59435614,0,0,0,0,0,0,0
1,1,5,58.52361398,0,0,0,0,58.52361398,0,0,0,0,0,0,0
1,1,6,58.8588999,0,0,0,0,58.8588999,0,0,0,0,0,0,0
1,1,7,54.45722137,0.00108723,0.00108723,0.001084399,0.001084399,54.45722137,0.001119807,0.00108723,0.00107391,0.00107391,0.00107391,0.00108723,0.001119807
1,1,8,54.83274224,2.667431629,2.667431629,2.660486137,2.660486137,54.83274224,2.747356697,2.667431629,2.634753278,2.634753278,2.634753278,2.667431629,2.747356697
1,1,9,36.26926843,19.59633834,19.59633834,19.54531315,19.54531315,36.26926843,20.18350941,19.59633834,19.3562662,19.3562662,19.3562662,19.59633834,20.18350941
1,1,10,19.91175574,43.21009338,43.21009338,43.09758239,43.09758239,19.91175574,44.50481059,43.21009338,42.68073226,42.68073226,42.68073226,43.21009338,44.50481059
1,1,11,27.65433832,51.5220641,51.5220641,51.38791029,51.38791029,27.65433832,53.06583543,51.5220641,50.89087413,50.89087413,50.89087413,51.5220641,53.06583543
1,1,12,31.50598923,62.68546927,62.68546927,62.52224805,62.52224805,31.50598923,64.56373312,62.68546927,61.91751791,61.91751791,61.91751791,62.68546927,64.56373312
1,1,13,35.78780555,67.90857749,67.90857749,67.73175628,67.73175628,35.78780555,69.94334292,67.90857749,67.07663853,67.07663853,67.07663853,67.90857749,69.94334292
1,1,14,40.03403911,74.24331626,74.24331626,74.05000057,74.05000057,40.03403911,76.4678914,74.24331626,73.33377125,73.33377125,73.33377125,74.24331626,76.4678914
1,1,15,50.64180785,58.37697944,58.37697944,58.22497672,58.22497672,50.64180785,60.12614669,58.37697944,57.66181082,57.66181082,57.66181082,58.37697944,60.12614669
1,1,16,38.72975078,44.90270195,44.90270195,44.78578373,44.78578373,38.72975078,46.24813532,44.90270195,44.35260492,44.35260492,44.35260492,44.90270195,46.24813532
1,1,17,24.47898814,28.21190257,28.21190257,28.13844406,28.13844406,24.47898814,29.05722442,28.21190257,27.8662823,27.8662823,27.8662823,28.21190257,29.05722442
1,1,18,20.35827456,3.023014424,3.023014424,3.015143061,3.015143061,20.35827456,3.113593928,3.023014424,2.985979876,2.985979876,2.985979876,3.023014424,3.113593928
1,1,19,44.32273419,0.001854061,0.001854061,0.001849234,0.001849234,44.32273419,0.001909615,0.001854061,0.001831347,0.001831347,0.001831347,0.001854061,0.001909615
1,1,20,62.40225165,0,0,0,0,62.40225165,0,0,0,0,0,0,0
1,1,21,52.50018115,0,0,0,0,52.50018115,0,0,0,0,0,0,0
1,1,22,43.88229816,0,0,0,0,43.88229816,0,0,0,0,0,0,0
1,1,23,45.45073688,0,0,0,0,45.45073688,0,0,0,0,0,0,0
